,class,parameter,data_type,default_value,url
7,sklearn.svm.SVR,shrinking,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
8,sklearn.svm.SVR,cache_size,float,200,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
9,sklearn.svm.SVR,verbose,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
10,sklearn.svm.SVR,max_iter,int,-1,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html
0,sklearn.svm.LinearSVR,epsilon,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
0,sklearn.svm.LinearSVR,epsilon,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
1,sklearn.svm.LinearSVR,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
1,sklearn.svm.LinearSVR,tol,float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
2,sklearn.svm.LinearSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
2,sklearn.svm.LinearSVR,C,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
3,sklearn.svm.LinearSVR,loss,string,’epsilon_insensitive’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
3,sklearn.svm.LinearSVR,loss,string,’epsilon_insensitive’,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
4,sklearn.svm.LinearSVR,fit_intercept,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html
